Rank,View Strategy,TAU,MAX_NEW,F1-macro,Accuracy,Improvement (%)
1,default,0.8,500,0.42050754220249,0.5526363145582148,2.53
2,default,0.65,500,0.41753417747254246,0.5520964549217203,1.81
3,default,0.9,500,0.4158597317753228,0.5400395897066763,1.4
4,default,0.75,500,0.415294660972613,0.5427988722932038,1.26
5,default,0.65,250,0.4129975813032926,0.5456181392837862,0.7
6,default,0.8,250,0.4129286548736332,0.5431587787175335,0.69
7,default,0.7,500,0.4114375354879674,0.5486173594865335,0.32
8,default,0.6,250,0.41102292816337566,0.5487373282946434,0.22
9,default,0.9,250,0.41011820978793473,0.5409393557675004,0.0
10,default,0.85,250,0.40880802492142226,0.5532961430028193,-0.32
11,default,0.6,500,0.40652021269339844,0.5421990282526543,-0.88
12,default,0.85,500,0.40624849660777745,0.5368004318877092,-0.94
13,default,0.75,250,0.4041184176130938,0.5388998860296323,-1.46
14,default,0.7,250,0.403940201361481,0.5432187631215883,-1.51
